scheme,model_count,time_costs,storage_costs
SecDV,2,25.496959686279297,5.266695976257324
SecDV,4,48.354148864746094,10.533631324768066
SecDV,6,70.21474838256836,15.800226211547852
SecDV,8,110.98909378051758,27.21228313446045
FMIV,2,227.77414321899414,15.532062530517578
FMIV,4,344.0365791320801,39.51028919219971
FMIV,6,565.4168128967285,59.704397201538086
FMIV,8,1543.6689853668213,210.88102340698242
VMHT,2,880.4802894592285,37.806541442871094
VMHT,4,4041.475296020508,215.04369640350342
VMHT,6,8020.576000213623,451.27649116516113
VMHT,8,43186.320781707764,2475.854471206665
